time,pos_x,pos_y
6.369977,-0.000348831,0.000254027
6.374142,-0.000380577,0.000254027
6.378141,-0.000380577,0.000222277
6.382291,-0.000412323,0.000190527
6.386312,-0.000444069,0.000190527
6.390377,-0.000444069,0.000158777
6.394469,-0.000444069,0.000158777
6.398551,-0.000475822,0.000158777
6.402629,-0.000507568,0.000127027
6.406706,-0.000539314,0.000127027
6.410787,-0.00057106,0.000127027
6.414866,-0.000602806,0.000127027
6.418945,-0.000634552,0.000127027
6.423027,-0.000666298,0.000158777
6.427126,-0.000729805,0.000190527
6.431204,-0.000793297,0.000222277
6.43529,-0.000888542,0.000285777
6.439372,-0.000983788,0.000349277
6.443455,-0.001079048,0.000444527
6.44754,-0.001206039,0.000539777
6.451617,-0.001301285,0.000635027
6.45569,-0.001428284,0.000762027
6.45977,-0.001587029,0.000889027
6.463849,-0.001714035,0.001016027
6.467929,-0.001841034,0.001174777
6.472006,-0.001999779,0.001365277
6.476086,-0.002126785,0.001492277
6.480317,-0.002253784,0.001651027
6.484248,-0.002412529,0.001841527
6.488369,-0.00250779,0.002000277
6.492406,-0.002634773,0.002190777
6.496487,-0.002730026,0.002317777
6.500565,-0.002825279,0.002476527
6.504643,-0.002952263,0.002667027
6.508724,-0.003015778,0.002825778
6.512802,-0.003111031,0.003016277
6.516885,-0.003174522,0.003206778
6.520963,-0.003238014,0.003365528
6.525041,-0.003301521,0.003556027
6.529278,-0.003365036,0.003746527
6.53326,-0.00342852,0.003905277
6.537295,-0.003460266,0.004095777
6.541377,-0.003523758,0.004286277
6.54546,-0.003555504,0.004476777
6.549537,-0.00358725,0.004699028
6.553614,-0.003619003,0.004857778
6.557736,-0.003650749,0.005111777
6.561868,-0.003682495,0.005334027
6.565859,-0.003714241,0.005524527
6.569981,-0.003745987,0.005746778
6.57402,-0.003745987,0.006000778
6.578097,-0.003777733,0.006191278
6.582487,-0.003777733,0.006413528
6.586268,-0.003809479,0.006699277
6.590346,-0.003809479,0.006953277
6.594428,-0.003809479,0.007207278
6.598503,-0.003809479,0.007429528
6.602584,-0.003809479,0.007683527
6.606661,-0.003777733,0.007937528
6.610742,-0.003777733,0.008159779
6.614819,-0.003745987,0.008382028
6.618899,-0.003682495,0.008667779
6.62298,-0.003650749,0.008890029
6.627057,-0.00358725,0.009144028
6.63121,-0.00352375,0.009429778
6.63526,-0.003460243,0.00965203
6.639299,-0.003365005,0.01003303
6.643381,-0.003301514,0.010255278
6.647458,-0.003237999,0.01054103
6.651538,-0.003142746,0.01085853
6.655618,-0.003079254,0.011080779
6.659696,-0.003015762,0.011398279
6.663777,-0.002920509,0.01171578
6.667866,-0.002856995,0.01200153
6.671944,-0.002761765,0.012287279
6.676023,-0.002666512,0.01263653
6.680102,-0.002603012,0.01292228
6.684302,-0.002507759,0.013271531
6.688266,-0.002444267,0.013684279
6.692342,-0.002380768,0.01400178
6.696423,-0.002317268,0.01438278
6.7005,-0.002285522,0.01466853
6.704581,-0.002253777,0.015017777
6.708661,-0.002253777,0.01539878
6.712739,-0.002253777,0.015748028
6.716819,-0.002253777,0.016097279
6.720899,-0.002253777,0.016510031
6.724978,-0.002285522,0.016827526
6.72906,-0.002349022,0.017176777
6.73321,-0.002444267,0.017589527
6.73729,-0.002507759,0.01793878
6.741314,-0.002603012,0.018446777
6.745385,-0.002698273,0.018796026
6.749466,-0.002825256,0.019177027
6.753589,-0.002984009,0.019621529
6.757652,-0.003079254,0.019970778
6.761713,-0.003237999,0.020383528
6.765858,-0.003396751,0.02079628
6.769871,-0.00352375,0.021177277
6.773948,-0.003682495,0.021590027
6.778031,-0.003809502,0.022034527
6.782109,-0.003936501,0.02238378
6.786289,-0.004063499,0.022796528
6.790274,-0.004190491,0.023272778
6.794349,-0.004285744,0.023685526
6.79843,-0.004380997,0.024098278
6.802509,-0.004444496,0.024447531
6.806585,-0.004507996,0.024860277
6.810666,-0.004571487,0.02524128
6.814743,-0.004603233,0.025590527
6.818824,-0.004634979,0.025939777
6.823125,-0.004666725,0.026320774
6.826586,-0.004666725,0.026320774
6.827079,-0.004698471,0.026606531
6.831125,-0.004698471,0.026955774
6.835313,-0.004698471,0.027273279
6.839284,-0.004698471,0.027590776
6.843418,-0.004730217,0.027876526
6.847397,-0.004730217,0.02806703
6.851577,-0.004730217,0.028257528
6.85556,-0.004730217,0.028479778
6.859729,-0.004761971,0.028606777
6.86372,-0.004761971,0.028765526
6.867884,-0.004793716,0.028860779
6.871882,-0.004793716,0.02895603
6.876041,-0.004825462,0.029019529
6.880042,-0.004825462,0.029051277
